session_date,contract,dir,signal_from_utc,entry_utc,exit_utc,prior_move_pts,entry_px,exit_px,points,gross_usd,net_usd,cum_gross,cum_net
2012-03-22,201205,SHORT,2012-03-21 22:00:00+00:00,2012-03-22 00:00:00+00:00,2012-03-22 02:00:00+00:00,0.035,32.22,32.28,-0.06,-60.0,-91.2,14040.0,-7862.4
2012-03-22,201205,LONG,2012-03-22 02:00:00+00:00,2012-03-22 04:00:00+00:00,2012-03-22 06:00:00+00:00,-0.16,32.12,32.11,-0.01,-10.0,-41.2,14030.0,-7903.6
2012-03-23,201205,SHORT,2012-03-22 22:00:00+00:00,2012-03-23 00:00:00+00:00,2012-03-23 02:00:00+00:00,0.11,31.665,31.54,0.125,125.0,93.8,14155.0,-7809.8
2012-03-23,201205,LONG,2012-03-23 02:00:00+00:00,2012-03-23 04:00:00+00:00,2012-03-23 06:00:00+00:00,-0.03,31.51,31.51,0.0,0.0,-31.2,14155.0,-7841.0
2012-03-26,201205,LONG,2012-03-25 22:00:00+00:00,2012-03-26 00:00:00+00:00,2012-03-26 02:00:00+00:00,-0.06,32.315,32.225,-0.09,-90.0,-121.2,14065.0,-7962.2
2012-03-26,201205,LONG,2012-03-26 02:00:00+00:00,2012-03-26 04:00:00+00:00,2012-03-26 06:00:00+00:00,-0.065,32.16,32.165,0.005,5.0,-26.2,14070.0,-7988.4
2012-03-27,201205,LONG,2012-03-26 22:00:00+00:00,2012-03-27 00:00:00+00:00,2012-03-27 02:00:00+00:00,-0.05,32.765,32.77,0.005,5.0,-26.2,14075.0,-8014.6
2012-03-27,201205,SHORT,2012-03-27 02:00:00+00:00,2012-03-27 04:00:00+00:00,2012-03-27 06:00:00+00:00,0.005,32.775,32.925,-0.15,-150.0,-181.2,13925.0,-8195.8
2012-03-28,201205,LONG,2012-03-27 22:00:00+00:00,2012-03-28 00:00:00+00:00,2012-03-28 02:00:00+00:00,-0.015,32.555,32.525,-0.03,-30.0,-61.2,13895.0,-8257.0
2012-03-28,201205,SHORT,2012-03-28 02:00:00+00:00,2012-03-28 04:00:00+00:00,2012-03-28 06:00:00+00:00,0.035,32.56,32.475,0.085,85.0,53.8,13980.0,-8203.2
2012-03-29,201205,LONG,2012-03-28 22:00:00+00:00,2012-03-29 00:00:00+00:00,2012-03-29 02:00:00+00:00,-0.02,32.11,32.015,-0.095,-95.0,-126.2,13885.0,-8329.4
